time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
11154,0,1,1,0,-2046.0,-2.0,2.0,1.0,1,1,1,0,0,0,1
11155,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11156,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11157,0,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11158,0,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11159,0,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11160,0,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11161,0,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11162,0,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,1,0
11163,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11164,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,1,0
11165,0,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11166,0,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,1,0
11167,0,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11168,1,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,1,0
11169,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11170,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
11171,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11172,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,1,0
11173,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11174,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,1,0
11175,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11176,1,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,1,0
11177,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,1,0
