time,clk_1M024,rst_n_1M024,clk_16M384,rst_16M384,DAC_I,DAC_Q,DAC_bits,DAC_vld,pn_5,pn_4,DAC_bits_1,DAC_bits_0,ground,DAC_bits_X1,DAC_bits_X2
27079,1,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27080,1,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27081,1,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27082,1,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27083,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27084,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27085,1,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
27086,1,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
27087,1,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27088,0,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27089,0,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27090,0,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27091,0,1,0,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27092,0,1,1,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27093,0,1,0,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27094,0,1,1,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27095,0,1,0,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27096,0,1,1,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27097,0,1,0,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27098,0,1,1,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27099,0,1,0,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27100,0,1,1,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27101,0,1,0,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27102,0,1,1,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27103,0,1,0,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27104,1,1,1,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27105,1,1,0,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27106,1,1,1,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27107,1,1,0,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27108,1,1,1,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27109,1,1,0,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27110,1,1,1,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27111,1,1,0,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27112,1,1,1,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27113,1,1,0,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27114,1,1,1,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27115,1,1,0,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27116,1,1,1,0,2046.0,2.0,0.0,1.0,1,1,0,0,0,1,0
27117,1,1,0,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27118,1,1,1,0,-2.0,2046.0,0.0,1.0,1,1,0,0,0,1,0
27119,1,1,0,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27120,0,1,1,0,-2046.0,-2.0,0.0,1.0,1,1,0,0,0,1,0
27121,0,1,0,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27122,0,1,1,0,2.0,-2046.0,0.0,1.0,1,1,0,0,0,1,0
27123,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27124,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27125,0,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
27126,0,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
27127,0,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27128,0,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27129,0,1,0,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27130,0,1,1,0,-2.0,2046.0,3.0,1.0,1,1,1,1,0,0,1
27131,0,1,0,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27132,0,1,1,0,-2046.0,-2.0,3.0,1.0,1,1,1,1,0,0,1
27133,0,1,0,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
27134,0,1,1,0,2.0,-2046.0,3.0,1.0,1,1,1,1,0,0,1
27135,0,1,0,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27136,1,1,1,0,2046.0,2.0,3.0,1.0,1,1,1,1,0,0,1
27137,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27138,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27139,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27140,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27141,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27142,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27143,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27144,1,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27145,1,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27146,1,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27147,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27148,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27149,1,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27150,1,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27151,1,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27152,0,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27153,0,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27154,0,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27155,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27156,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27157,0,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27158,0,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27159,0,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27160,0,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27161,0,1,0,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27162,0,1,1,0,-2.0,2046.0,3.0,1.0,0,0,1,1,0,0,1
27163,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27164,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,0,1,1,0,0,1
27165,0,1,0,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27166,0,1,1,0,2.0,-2046.0,3.0,1.0,0,0,1,1,0,0,1
27167,0,1,0,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27168,1,1,1,0,2046.0,2.0,3.0,1.0,0,0,1,1,0,0,1
27169,1,1,0,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27170,1,1,1,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27171,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27172,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27173,1,1,0,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27174,1,1,1,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27175,1,1,0,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27176,1,1,1,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27177,1,1,0,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27178,1,1,1,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27179,1,1,0,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27180,1,1,1,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27181,1,1,0,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27182,1,1,1,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27183,1,1,0,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27184,0,1,1,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27185,0,1,0,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27186,0,1,1,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27187,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27188,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27189,0,1,0,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27190,0,1,1,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27191,0,1,0,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27192,0,1,1,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27193,0,1,0,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27194,0,1,1,0,-2.0,2046.0,3.0,1.0,0,1,1,1,0,0,1
27195,0,1,0,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27196,0,1,1,0,-2046.0,-2.0,3.0,1.0,0,1,1,1,0,0,1
27197,0,1,0,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27198,0,1,1,0,2.0,-2046.0,3.0,1.0,0,1,1,1,0,0,1
27199,0,1,0,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27200,1,1,1,0,2046.0,2.0,3.0,1.0,0,1,1,1,0,0,1
27201,1,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27202,1,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27203,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27204,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27205,1,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
27206,1,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
27207,1,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27208,1,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27209,1,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27210,1,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27211,1,1,0,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27212,1,1,1,0,-2046.0,-2.0,3.0,1.0,1,0,1,1,0,0,1
27213,1,1,0,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
27214,1,1,1,0,2.0,-2046.0,3.0,1.0,1,0,1,1,0,0,1
27215,1,1,0,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27216,0,1,1,0,2046.0,2.0,3.0,1.0,1,0,1,1,0,0,1
27217,0,1,0,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27218,0,1,1,0,-2.0,2046.0,3.0,1.0,1,0,1,1,0,0,1
27219,0,1,0,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
27220,0,1,1,0,2046.0,2.0,0.0,1.0,1,0,0,0,0,1,0
27221,0,1,0,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
27222,0,1,1,0,-2.0,2046.0,0.0,1.0,1,0,0,0,0,1,0
27223,0,1,0,0,-2046.0,-2.0,0.0,1.0,1,0,0,0,0,1,0
